0
15
15
*, *, *, *, *, *, *, *, *, *, *, *, *, *, *
*, _, _, _, _, _, _, _, _, _, _, _, _, _, *
*, _, *, _, *, _, *, _, *, _, *, _, *, _, *
*, _, _, _, _, _, _, _, _, _, _, _, _, _, *
*, _, *, _, *, _, *, _, *, _, *, _, *, _, *
*, _, _, _, _, _, _, _, _, _, _, _, _, _, *
*, _, *, _, *, _, *, _, *, _, *, _, *, _, *
*, _, _, _, _, _, _, _, _, _, _, _, _, _, *
*, _, *, _, *, _, *, _, *, _, *, _, *, _, *
*, _, _, _, _, _, _, _, _, _, _, _, _, _, *
*, _, *, _, *, _, *, _, *, _, *, _, *, _, *
*, _, _, _, _, _, _, _, _, _, _, _, _, _, *
*, _, *, _, *, _, *, _, *, _, *, _, *, _, *
*, _, _, _, _, _, _, _, _, _, _, _, _, _, *
*, *, *, *, *, *, *, *, *, *, *, *, *, *, *
