1
15
15
*, *, *, *, *, *, *, *, *, *, *, *, *, *, *
*, _, _, #, t, u, v, w, _, _, _, _, _, _, *
*, _, *, _, *, _, *, _, *, _, *, _, *, _, *
*, a, b, c, d, e, f, g, h, i, j, k, l, m, *
*, _, *, _, *, _, *, _, *, _, *, _, *, _, *
*, n, o, p, q, r, s, t, u, v, w, _, _, _, *
*, _, *, _, *, _, *, _, *, _, *, _, *, _, *
*, _, _, _, _, _, _, _, _, _, _, _, _, _, *
*, _, *, _, *, _, *, _, *, _, *, _, *, _, *
*, _, _, _, _, _, _, _, _, _, _, _, _, _, *
*, _, *, _, *, _, *, _, *, _, *, _, *, _, *
*, _, _, _, _, _, _, _, _, _, _, _, _, _, *
*, _, *, _, *, _, *, _, *, _, *, _, *, _, *
*, _, _, _, _, _, _, _, _, _, _, _, _, _, *
*, *, *, *, *, *, *, *, *, *, *, *, *, *, *
