1
15
15
*, *, *, *, *, *, *, *, *, *, *, *, *, *, *
*, _, _, t, t, _, g, #, _, j, _, _, _, l, *
*, _, *, _, *, _, *, _, *, #, *, k, *, _, *
*, _, u, v, f, _, _, _, _, _, _, #, m, #, *
*, v, *, _, *, _, *, t, *, i, *, _, *, #, *
*, a, _, _, _, _, t, #, _, #, _, _, _, _, *
*, _, *, t, *, _, *, h, *, _, *, #, *, n, *
*, t, u, _, u, _, #, _, #, _, #, _, o, _, *
*, b, *, e, *, #, *, _, *, h, *, _, *, #, *
*, v, v, _, v, _, i, _, _, _, #, _, p, _, *
*, _, *, #, *, _, *, #, *, _, *, #, *, _, *
*, c, #, d, _, _, j, #, _, g, _, #, q, #, *
*, _, *, _, *, #, *, _, *, _, *, _, *, r, *
*, _, #, #, #, #, _, f, _, #, _, s, #, _, *
*, *, *, *, *, *, *, *, *, *, *, *, *, *, *
