0
15
15
_, _, _, _, _, _, _, _, _, _, _, _, _, _, _
_, d, b, b, b, b, b, b, b, b, b, b, b, b, _
_, b, _, c, _, b, _, b, _, b, _, b, _, b, _
_, b, c, c, b, b, b, b, b, b, b, b, b, b, _
_, b, _, b, _, b, _, b, _, m, _, o, _, b, _
_, b, b, b, b, l, b, b, b, b, b, b, b, b, _
_, b, _, b, _, b, _, b, _, n, _, p, _, b, _
_, b, b, b, b, m, b, b, b, b, b, j, b, b, _
_, b, _, b, _, b, _, b, _, b, _, b, _, b, _
_, b, e, b, b, k, b, b, b, b, b, h, b, b, _
_, b, _, b, _, b, _, b, _, b, _, b, _, b, _
_, b, f, b, b, i, b, b, b, b, b, g, b, b, _
_, b, _, b, _, b, _, b, _, b, _, b, _, b, _
_, b, b, b, b, b, b, b, b, b, b, b, b, b, _
_, _, _, _, _, _, _, _, _, _, _, _, _, _, _
